"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByID","Deve buscar e validar CEP por ID","Validate BY IDEnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; "
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionByCssSelector","Deve buscar e validar CEP por Css Slector selecionando Unidade Operacional","Validate CSS SELECTOREnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 20 20:30:56 GMT 2024","Tue Aug 20 20:30:59 GMT 2024","3296","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingOptionLogradouroByID","Deve buscar e validar CEP por ID","Validate BY IDEnter the post office website; Look for an invalid Zip Code; Confirm that captcha is not informed"
"passed","Tue Aug 20 20:31:22 GMT 2024","Tue Aug 20 20:31:26 GMT 2024","3263","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando Grande Usuário","Validate CSS SELECTOREnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and vConfirm that captcha is not informed"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionById","Deve buscar e validar CEP por ID selecionando Unidade Operacional","Validate BY IDEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 20 20:30:59 GMT 2024","Tue Aug 20 20:31:03 GMT 2024","3283","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByXpath","Deve buscar e validar CEP por XPATH selecionando CEP Promocional","Validate BY XPATHEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando Grande Usuário","Validate CSS SELECTOREnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxByXpath","Deve buscar e validar CEP por XPATH selecionando Caixa Postal Comunitária","Validate BY XPATHEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 20 20:31:13 GMT 2024","Tue Aug 20 20:31:16 GMT 2024","3199","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeById","Deve buscar e validar CEP por ID selecionando CEP Promocional","Validate BY IDEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 20 20:30:46 GMT 2024","Tue Aug 20 20:30:50 GMT 2024","3228","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Grande Usuário","Validate BY XPATHEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 20 20:31:09 GMT 2024","Tue Aug 20 20:31:13 GMT 2024","3578","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxByXpath","Deve buscar e validar CEP por XPATH selecionando Caixa Postal Comunitária","Validate BY XPATHEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 20 20:31:52 GMT 2024","Tue Aug 20 20:31:59 GMT 2024","6748","","Performs validations search screen for Tracking code","","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath","Deve buscar e validar Código de rastreio por XPATH","Validate BY XPATHShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithTypePromotionalZipCodeById","Deve buscar e validar CEP por ID selecionando CEP Promocional","Validate BY IDEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:45 GMT 2024","7119","","Performs validations search screen for Tracking code","","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByID","Deve buscar e validar Código de rastreio por ID","Validate BY IDShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;"
"passed","Tue Aug 20 20:31:35 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","3148","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath","Deve buscar e validar CEP por XPATH","Validate BY XPATHEnter the post office website; Look for an invalid Zip Code; Confirm that captcha is not informed"
"passed","Tue Aug 20 20:31:19 GMT 2024","Tue Aug 20 20:31:22 GMT 2024","3130","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector","Deve buscar e validar CEP por CSS Selector","Validate BY CSS SELECTOREnter the post office website; Look for an invalid Zip Code; Confirm that captcha is not informed"
"passed","Tue Aug 20 20:31:16 GMT 2024","Tue Aug 20 20:31:19 GMT 2024","3249","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxById","Deve buscar e validar CEP por ID selecionando Caixa Postal Comunitária","Validate BY IDEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 20 20:30:50 GMT 2024","Tue Aug 20 20:30:53 GMT 2024","3210","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionById","Deve buscar e validar CEP por ID selecionando Grande Usuário","Validate BY IDEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 20 20:30:37 GMT 2024","Tue Aug 20 20:30:43 GMT 2024","6491","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithOperatingUnitOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Unidade Operacional","Validate BY XPATHEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 20 20:31:45 GMT 2024","Tue Aug 20 20:31:52 GMT 2024","6480","","Performs validations search screen for Tracking code","","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector","Deve buscar e validar Código de rastreio por CSS Selector","By CSSShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;"
"passed","Tue Aug 20 20:31:03 GMT 2024","Tue Aug 20 20:31:06 GMT 2024","3261","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsByCssSelector","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate CSS SELECTOREnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 20 20:31:29 GMT 2024","Tue Aug 20 20:31:32 GMT 2024","3146","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando Caixa Postal Comunitária","Validate CSS SELECTOREnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando Caixa Postal Comunitária","Validate CSS SELECTOREnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxById","Deve buscar e validar CEP por ID selecionando Caixa Postal Comunitária","Validate BY IDEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 20 20:31:26 GMT 2024","Tue Aug 20 20:31:29 GMT 2024","3149","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsByXpath","Deve buscar e validar CEP por XPATH selecionando Todos","Validate BY XPATHEnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsByCssSelector","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate CSS SELECTOREnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 20 20:30:53 GMT 2024","Tue Aug 20 20:30:56 GMT 2024","3328","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsById","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate BY IDEnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsByXpath","Deve buscar e validar CEP por XPATH selecionando Todos","Validate BY XPATHEnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Grande Usuário","Validate BY XPATHEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsById","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate BY IDEnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath","Deve buscar e validar CEP por XPATH","Validate BY XPATHEnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; "
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando CEP Promocional","Validate CSS SELECTOREnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByXpath","Deve buscar e validar CEP por XPATH selecionando CEP Promocional","Validate BY XPATHEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 20 20:31:32 GMT 2024","Tue Aug 20 20:31:35 GMT 2024","3182","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithOperatingUnitOptionByCssSelector","Deve buscar e validar CEP por Css Slector selecionando Unidade Operacional","Validate CSS SELECTOREnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 20 20:31:06 GMT 2024","Tue Aug 20 20:31:09 GMT 2024","3184","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando CEP Promocional","Validate CSS SELECTOREnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionById","Deve buscar e validar CEP por ID selecionando Grande Usuário","Validate BY IDEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Unidade Operacional","Validate BY XPATHEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 20 20:31:38 GMT 2024","Tue Aug 20 20:31:38 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector","Deve buscar e validar CEP por CSS Selector","Validate BY CSS SELECTOREnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; "
"passed","Tue Aug 20 20:30:43 GMT 2024","Tue Aug 20 20:30:46 GMT 2024","3232","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithOperatingUnitOptionById","Deve buscar e validar CEP por ID selecionando Unidade Operacional","Validate BY IDEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and Confirm that captcha is not informed"
