"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate BY XPATHShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;","5313","Deve buscar e validar Código de rastreio por XPATH","","Tue Feb 11 19:00:00 GMT 2025","passed","Tue Feb 11 19:00:06 GMT 2025","","Performs validations search screen for Tracking code","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath"
"Validate BY IDEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and Confirm that captcha is not informed","3511","Deve buscar e validar CEP por ID selecionando Grande Usuário","","Tue Feb 11 18:59:18 GMT 2025","passed","Tue Feb 11 18:59:22 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionById"
"Validate BY XPATHEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and Confirm that captcha is not informed","6050","Deve buscar e validar CEP por XPATH selecionando Unidade Operacional","","Tue Feb 11 18:59:05 GMT 2025","passed","Tue Feb 11 18:59:11 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithOperatingUnitOptionByXpath"
"Validate BY IDEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por ID selecionando CEP Promocional","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithTypePromotionalZipCodeById"
"Validate CSS SELECTOREnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed","3480","Deve buscar e validar CEP por CSS Selector selecionando CEP Promocional","","Tue Feb 11 18:59:35 GMT 2025","passed","Tue Feb 11 18:59:39 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByCssSelector"
"Validate CSS SELECTOREnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por CSS Selector selecionando Caixa Postal Comunitária","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxByCssSelector"
"Validate BY IDEnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed","3317","Deve buscar e validar CEP por ID selecionando Todas as Opções","","Tue Feb 11 18:59:22 GMT 2025","passed","Tue Feb 11 18:59:25 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsById"
"Validate BY IDEnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por ID selecionando Todas as Opções","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsById"
"By CSSShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;","5596","Deve buscar e validar Código de rastreio por CSS Selector","","Tue Feb 11 18:59:55 GMT 2025","passed","Tue Feb 11 19:00:00 GMT 2025","","Performs validations search screen for Tracking code","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector"
"Validate BY IDShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;","5153","Deve buscar e validar Código de rastreio por ID","","Tue Feb 11 18:59:50 GMT 2025","passed","Tue Feb 11 18:59:55 GMT 2025","","Performs validations search screen for Tracking code","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByID"
"Validate BY IDEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed","949","Deve buscar e validar CEP por ID selecionando CEP Promocional","","Tue Feb 11 18:59:42 GMT 2025","broken","Tue Feb 11 18:59:43 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeById"
"Validate CSS SELECTOREnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed","947","Deve buscar e validar CEP por CSS Selector selecionando Caixa Postal Comunitária","","Tue Feb 11 18:59:47 GMT 2025","broken","Tue Feb 11 18:59:48 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxByCssSelector"
